model_name,best_cv_f1,accuracy,precision,recall,f1,roc_auc
DecisionTree,0.640401482106843,0.9041095890410958,0.7407407407407407,0.7741935483870968,0.7570977917981072,0.854689366786141
RandomForest,0.7515433392895156,0.9265255292652553,0.8428571428571429,0.7612903225806451,0.8,0.9620121465551572
AdaBoost,0.3467478681773551,0.8343711083437111,0.8235294117647058,0.18064516129032257,0.2962962962962963,0.7931302270011947
